Код,Номер распоряжения,Район,Адрес,Вид ограничения,Производитель работ,Инн подрядчика,Заказчик,Инн заказчика,Дата начала ограничения,Дата окончания ограничения
184113,745 -2012,адмиралтейский,"наб.крюкова кан., от щепяного пер. до садовой ул.",огранич.движения,зао 'никольские ряды',7826729992,зао 'никольские ряды',7826729992,20.07.2012,05.04.2017
184114,746 -2012,адмиралтейский,"садовая ул., от наб. крюкова канала до никольского пер.",огранич.движения,зао 'никольские ряды',7826729992,зао 'никольские ряды',7826729992,20.07.2012,05.04.2017
184115,747 -2012,адмиралтейский,"никольский пер., от садовой ул. до щепяного пер.",огранич.движения,зао 'никольские ряды',7826729992,зао 'никольские ряды',7826729992,20.07.2012,05.04.2017
184117,748 -2012,адмиралтейский,"щепяной пер., от никольского пер. до наб. крюкова канала",полное закрытие дв.,зао 'никольские ряды',7826729992,зао 'никольские ряды',7826729992,20.07.2012,05.04.2017
193248,170 -2013,петроградский,"дивенская ул., от малой монетной ул. до певческого пер.",полное закрытие дв.,зао 'евромонолит',7802116122,ооо 'прайм-инвестмент',7842337939,12.04.2013,10.10.2015
193250,171 -2013,петроградский,"малая монетная ул., от большой посадской ул. до дивенской ул.",закрытие одного напр,зао 'евромонолит',7802116122,ооо 'прайм-инвестмент',7842337939,12.04.2013,10.10.2015
193252,172 -2013,петроградский,"большая посадская ул., от малой монетной ул. до певческого пер.",огранич.движения,зао 'евромонолит',7802116122,ооо 'прайм-инвестмент',7842337939,12.04.2013,10.10.2015
193255,173 -2013,петроградский,"певческий пер., от дивенской ул. до большой посадской ул.",закрытие одного напр,зао 'евромонолит',7802116122,ооо 'прайм-инвестмент',7842337939,12.04.2013,10.10.2015
194869,389 -2013,петроградский,"певческий пер., от ул. мира до дивенской ул.",закрытие одного напр,зао 'евромонолит',7802116122,ооо 'прайм-инвестмент',7842337939,20.05.2013,10.10.2015
196003,546 -2013,петроградский,"ул.куйбышева, от мичуринской ул. до петроградской наб.",огранич.движения,зао 'усп',7802178922,оао 'скв спб',7803048130,17.06.2013,30.09.2015
202576,1688 -2013,выборгский,"пр.просвещения, (боковой проезд) от пр. художников до ул. кустодиева",полное закрытие дв.,ооо 'мост-сервис',7816087383,спб гку 'управление заказчика',7840014918,01.11.2013,15.06.2014
172762,40 -2014,невский,"3-й рыбацкий проезд, от 4-го рыбацкого проезда до 6-го рыбацкого проезда",полное закрытие дв.,зао 'стройкомплект',7804004248,спб гку 'городское агентство по промышленным инвестициям',7825453163,03.02.2014,30.09.2015
203285,85 -2014,центральный,"поварской пер., от стремянной ул. до колокольной ул.",огранич.движения,ооо 'невский',7838405400,ооо 'невский',7838405400,28.02.2014,20.06.2014
204006,142 -2014,центральный,конюшенная пл.,огранич.движения,ооо 'содис строй',7816237350,зао 'оранж-девелопмент',4720018560,18.03.2014,14.12.2015
204008,143 -2014,центральный,"конюшенный пер., от наб. реки мойки до конюшенной пл.",огранич.движения,ооо 'содис строй',7816237350,зао 'оранж-девелопмент',4720018560,18.03.2014,14.12.2015
204012,144 -2014,центральный,"наб.р.мойки, (четная сторона) от театрального моста до большого конюшенного моста",полное закрытие дв.,ооо 'содис строй',7816237350,зао 'оранж-девелопмент',4720018560,18.03.2014,14.12.2015
204014,145 -2014,центральный,"наб.кан.грибоедова, (нечетная сторона) от театрального моста до ново-конюшенного моста",полное закрытие дв.,ооо 'содис строй',7816237350,зао 'оранж-девелопмент',4720018560,18.03.2014,14.12.2015
204263,169 -2014,московский,"дунайский пр., (боковой проезд) от пулковского шоссе до 5-го предпортового проезда",полное закрытие дв.,зао 'пилон',7813109127,спб гку 'дирекция транспортного строительства',7825342390,27.03.2014,29.09.2016
204503,179 -2014,выборгский,"ул.смолячкова, от большого сампсониевского пр. до зеленкова пер.",огранич.движения,зао 'ренейссанс констракшн',7814017341,ооо 'десна глобал',7842356931,01.04.2014,30.08.2015
204505,180 -2014,выборгский,"ловизский пер., от зеленкова пер. до большого сампсониевского пр.",закрытие одного напр,зао 'ренейссанс констракшн',7814017341,ооо 'десна глобал',7842356931,01.04.2014,30.08.2015
204506,181 -2014,выборгский,"зеленков пер., от беловодского пер. до ул. смолячкова",закрытие одного напр,зао 'ренейссанс констракшн',7814017341,ооо 'десна глобал',7842356931,01.04.2014,30.08.2015
205601,243 -2014,адмиралтейский,"ул.красуцкого, от московского пр. до конца улицы",огранич.движения,зао 'юит санкт-петербург',7814313164,зао 'юит санкт-петербург',7814313164,21.04.2014,03.02.2016
206205,289 -2014,фрунзенский,"бухарестская ул., от ул. димитрова до пр. славы",огранич.движения,зао 'управление-15 метрострой',7810165638,спб гку 'дирекция транспортного строительства',7825342390,01.05.2014,31.12.2015
209113,633 -2014,петроградский,"корпусная ул., от ул.большой зеленина до ул.малой зеленина",огранич.движения,ооо 'гск № 1',7804456269,ооо 'ик 'строительный трест',7804181303,08.07.2014,20.05.2017
209115,634 -2014,петроградский,"большая зеленина ул., от корпусной ул. до ул.глухой зеленина",огранич.движения,ооо 'гск № 1',7804456269,ооо 'ик 'строительный трест',7804181303,08.07.2014,20.05.2017
